Code   Colat Long   alt(m) year    D         I        H      X     Y      Z      F
FLB    6.550 298.633  -999 1876.0  -97.950   84.700   5233   -724  -5183  56409  56651
ALE    7.500 297.650    60 1961.9  -79.287   85.970   3899    728  -3833  55330  55467
ALE    7.500 297.650    60 1962.5  -79.462   86.020   3849    707  -3786  55297  55430
ALE    7.500 297.650    60 1963.5  -79.362   86.045   3825    709  -3761  55310  55442
ALE    7.500 297.650    60 1964.5  -79.253   86.053   3819    715  -3754  55348  55479
ALE    7.500 297.650    60 1965.5  -78.967   86.075   3800    730  -3732  55366  55496
ALE    7.500 297.650    60 1966.5  -79.212   86.095   3784    711  -3719  55415  55544
ALE    7.500 297.650    60 1967.5  -79.315   86.098   3783    704  -3719  55455  55583
ALE    7.500 297.650    60 1968.5  -79.470   86.102   3783    694  -3721  55496  55624
ALE    7.500 297.650    60 1969.5  -79.617   86.107   3780    684  -3720  55537  55665
ALE    7.500 297.650    60 1970.5  -79.853   86.120   3771    667  -3714  55583  55710
ALE    7.500 297.650    60 1971.5  -79.862   86.132   3763    665  -3706  55644  55771
ALE    7.500 297.650    60 1972.5  -79.812   86.152   3745    665  -3688  55670  55795
ALE    7.500 297.650    60 1973.5  -79.650   86.175   3731    673  -3672  55794  55918
ALE    7.500 297.650    60 1974.5  -79.235   86.195   3708    695  -3645  55744  55867
ALE    7.500 297.650    60 1975.5  -79.008   86.192   3716    711  -3650  55812  55935
ALE    7.500 297.650    60 1976.5  -78.208   86.217   3698    758  -3622  55913  56035
ALE    7.500 297.650    60 1977.5  -77.708   86.267   3650    779  -3568  55929  56047
ALE    7.500 297.650    60 1978.5  -77.753   86.237   3679    782  -3597  55924  56044
ALE    7.500 297.650    60 1979.5  -77.470   86.232   3683    801  -3596  55903  56024
ALE    7.500 297.650    60 1980.5  -77.198   86.238   3674    816  -3584  55865  55985
ALE    7.500 297.650    60 1981.5  -76.857   86.238   3672    837  -3577  55835  55955
ALE    7.500 297.650    60 1982.5  -76.472   86.253   3655    857  -3555  55813  55932
ALE    7.500 297.650    60 1983.5  -76.542   86.277   3631    847  -3533  55795  55913
ALE    7.500 297.650    60 1984.5  -76.477   86.273   3633    851  -3534  55770  55888
ALE    7.500 297.650    60 1985.5  -76.140   86.293   3611    866  -3507  55724  55840
ALE    7.500 297.650    60 1986.5  -75.733   86.328   3574    882  -3465  55685  55799
ALE    7.500 297.650    60 1987.5  -75.472   86.333   3567    896  -3454  55647  55761
ALE    7.500 297.650    60 1988.5  -75.205   86.347   3552    908  -3435  55632  55745
ALE    7.500 297.650    60 1989.5  -74.393   86.378   3521    948  -3392  55613  55724
ALE    7.500 297.650    60 1990.5  -74.345   86.388   3510    948  -3381  55595  55705
ALE    7.500 297.650    60 1991.5  -74.280   86.397   3500    949  -3370  55581  55691
ALE    7.500 297.650    60 1992.5  -73.645   86.413   3482    981  -3342  55545  55654
ALE    7.500 297.650    60 1993.5  -73.247   86.417   3478   1003  -3331  55539  55647
ALE    7.500 297.650    60 1994.5  -72.687   86.415   3480   1036  -3323  55543  55651
ALE    7.500 297.650    60 1995.5  -72.000   86.427   3468   1072  -3299  55525  55633
ALE    7.500 297.650    60 1996.5  -71.303   86.435   3460   1109  -3277  55519  55627
ALE    7.500 297.650    60 1997.5  -70.495   86.440   3453   1153  -3255  55517  55624
ALE    7.500 297.650    60 1998.5  -69.627   86.453   3441   1198  -3226  55521  55628
ALE    7.500 297.650    60 1999.5  -68.710   86.447   3448   1252  -3213  55528  55635
ALE    7.500 297.650    60 2000.5  -67.510   86.448   3448   1319  -3186  55553  55660
ALE    7.500 297.650    60 2001.5  -66.550   86.438   3458   1376  -3172  55564  55672
ALE    7.500 297.650    60 2002.5  -65.432   86.433   3464   1440  -3150  55590  55698
ALE    7.500 297.650    60 2003.5  -64.433   86.438   3463   1494  -3123  55635  55743
ALE    7.500 297.650    60 2004.5  -63.345   86.435   3467   1555  -3098  55651  55759
TPB    8.200  57.983  -999 1904.1   22.700   83.207   6766   6242   2611  56798  57200
DIS    8.267 295.267  -999 1876.0 -101.733   84.833   5160  -1049  -5052  57066  57299
FCR    8.267 295.267  -999 1883.0 -100.617   85.012   5160   -951  -5072  59120  59345
HIS    9.383  58.050    20 1959.5   24.365   84.497   5486   4997   2263  56936  57200
HIS    9.383  58.050    20 1960.5   24.350   84.532   5452   4967   2248  56947  57208
HIS    9.383  58.050    20 1961.5   24.437   84.550   5435   4948   2248  56972  57231
HIS    9.383  58.050    20 1962.5   24.445   84.563   5427   4941   2246  57018  57276
HIS    9.383  58.050    20 1963.5   24.457   84.572   5424   4937   2246  57086  57343
HIS    9.383  58.050    20 1964.5   24.462   84.572   5429   4942   2248  57128  57386
HIS    9.383  58.050    20 1965.5   24.338   84.572   5432   4949   2239  57160  57418
HIS    9.383  58.050    20 1966.5   24.255   84.580   5428   4949   2230  57206  57463
HIS    9.383  58.050    20 1967.5   24.113   84.580   5432   4958   2219  57256  57513
HIS    9.383  58.050    20 1968.5   23.978   84.578   5433   4964   2208  57243  57500
HIS    9.383  58.050    20 1969.5   23.682   84.568   5446   4987   2187  57272  57530
HIS    9.383  58.050    20 1970.5   23.167   84.555   5461   5021   2148  57292  57552
HIS    9.383  58.050    20 1971.5   23.250   84.573   5445   5003   2149  57310  57568
HIS    9.383  58.050    20 1972.5   23.167   84.572   5450   5011   2144  57350  57608
HIS    9.383  58.050    20 1973.5   22.595   84.588   5433   5016   2087  57359  57615
HIS    9.383  58.050    20 1974.5  888.888   84.608   5424  88888  88888  57460  57715
HIS    9.383  58.050    20 1975.5  888.888   84.605   5429  88888  88888  57486  57742
HIS    9.383  58.050    20 1976.5   22.500   84.605   5430   5017   2078  57490  57746
HIS    9.383  58.050    20 1977.5   22.667   84.625   5410   4992   2085  57500  57754
HIS    9.383  58.050    20 1978.5   22.833   84.628   5410   4986   2099  57530  57784
HIS    9.383  58.050    20 1979.5   22.667   84.658   5380   4964   2073  57540  57790
HIS    9.383  58.050    20 1980.5   22.883   84.678   5360   4938   2084  57545  57794
HIS    9.383  58.050    20 1981.5   23.250   84.698   5340   4906   2108  57545  57792
HIS    9.383  58.050    20 1982.5   23.083   84.717   5320   4894   2086  57530  57775
HIS    9.383  58.050    20 1983.5   23.083   84.750   5280   4857   2070  57470  57712
HIS    9.383  58.050    20 1984.5   23.333   84.780   5250   4821   2079  57460  57699
HIS    9.383  58.050    20 1985.5   23.417   84.807   5220   4790   2075  57430  57667
HIS    9.383  58.050    20 1986.5   23.833   84.842   5180   4738   2093  57380  57613
HIS    9.383  58.050    20 1987.5   24.000   84.867   5150   4705   2095  57320  57551
HIS    9.383  58.050    20 1988.5   24.167   84.905   5110   4662   2092  57310  57537
HIS    9.383  58.050    20 1989.5   24.333   84.943   5070   4620   2089  57300  57524
HIS    9.383  58.050    20 1990.5   24.500   84.970   5040   4586   2090  57270  57491
HIS    9.383  58.050    20 1991.5   24.580   84.992   5018   4563   2087  57261  57480
HIS    9.383  58.050    20 1992.5   24.667   85.028   4980   4526   2078  57240  57456
HIS    9.383  58.050    20 1993.5   24.750   85.045   4960   4504   2077  57220  57435
HIS    9.383  58.050    20 1994.2   24.917   85.050   4955   4494   2088  57210  57425
ALG    9.633  56.100  -999 1905.5   20.473   82.763   7161   6709   2505  56395  56848
TKH    9.667  52.800  -999 1933.1   21.122   83.105   6603   6159   2379  54602  55000
TKH    9.667  52.800  -999 1933.5   21.182   83.112   6598   6152   2384  54611  55008
TKH    9.667  52.800  -999 1934.5   21.463   83.133   6567   6112   2403  54534  54928
TKH    9.667  52.800  -999 1935.5   21.743   83.178   6529   6064   2419  54578  54967
TKH    9.667  52.800  -999 1936.5   21.972   83.213   6500   6028   2432  54614  54999
TKH    9.667  52.800  -999 1937.5   22.137   83.245   6472   5995   2439  54647  55029
